Date,weight_oz,calories,walk,run,weight,exercise,weight_g,weight_dif_in_oz,weight_dif_in_g,weight_loss_in_g_per_100_kcal_consumed,week_num
07/10/2018,2704,2200,No,No,No,No,76657.048,-38,-1077.281,-71.81873333,10
08/10/2018,2692,2200,Yes,No,No,Yes,76316.854,-12,-340.194,-15.46336364,11
09/10/2018,2688,1400,Yes,No,No,Yes,76203.456,-4,-113.398,-5.154454545,11
10/10/2018,2664,3400,Yes,Yes,Yes,Yes,75523.068,-24,-680.388,-48.59914286,11
11/10/2018,2678,2900,Yes,No,Yes,Yes,75919.961,14,396.893,11.67332353,11
12/10/2018,2706,1600,Yes,No,Yes,Yes,76713.747,28,793.786,27.37193103,11
13/10/2018,2676,4900,No,Yes,Yes,Yes,75863.262,-30,-850.485,-53.1553125,11
14/10/2018,2696,6450,No,Yes,Yes,Yes,76430.252,20,566.99,11.57122449,11
15/10/2018,2736,2300,Yes,No,Yes,Yes,77564.232,40,1133.98,17.58108527,12
16/10/2018,2710,2300,Yes,No,Yes,Yes,76827.145,-26,-737.087,-32.04726087,12
17/10/2018,2676,1800,No,No,No,No,75863.262,-34,-963.883,-41.90795652,12
18/10/2018,2662,3200,No,No,No,No,75466.369,-14,-396.893,-22.04961111,12
19/10/2018,2688,3400,No,No,No,No,76203.456,26,737.087,23.03396875,12
20/10/2018,2704,1900,No,No,No,No,76657.048,16,453.592,13.34094118,12
21/10/2018,2694,4300,Yes,Yes,No,Yes,76373.553,-10,-283.495,-14.92078947,12
22/10/2018,2692,1800,Yes,No,No,Yes,76316.854,-2,-56.699,-1.318581395,13
23/10/2018,2674,3750,Yes,No,No,Yes,75806.563,-18,-510.291,-28.3495,13
24/10/2018,2664,3500,Yes,No,No,Yes,75523.068,-10,-283.495,-7.559866667,13
25/10/2018,2704,2850,Yes,No,No,Yes,76657.048,40,1133.98,32.39942857,13
26/10/2018,2706,2750,No,No,No,No,76713.747,2,56.699,1.989438596,13
27/10/2018,2704,2950,No,Yes,No,Yes,76657.048,-2,-56.699,-2.061781818,13
28/10/2018,2688,7550,No,No,No,No,76203.456,-16,-453.592,-15.376,13
29/10/2018,2752,1400,Yes,No,No,Yes,78017.824,64,1814.368,24.03136424,14
30/10/2018,2704,1550,Yes,No,No,Yes,76657.048,-48,-1360.776,-97.19828571,14
31/10/2018,2672,2350,Yes,Yes,No,Yes,75749.864,-32,-907.184,-58.528,14
01/11/2018,2664,5400,Yes,No,No,Yes,75523.068,-8,-226.796,-9.650893617,14
02/11/2018,2708,3300,Yes,No,No,Yes,76770.446,44,1247.378,23.09959259,14
03/11/2018,2694,5350,No,Yes,No,Yes,76373.553,-14,-396.893,-12.02706061,14
04/11/2018,2708,5200,No,No,No,No,76770.446,14,396.893,7.418560748,14
05/11/2018,2740,2000,Yes,No,No,Yes,77677.63,32,907.184,17.44584615,15
06/11/2018,2696,3550,Yes,No,Yes,Yes,76430.252,-44,-1247.378,-62.3689,15
07/11/2018,2704,2200,No,Yes,Yes,Yes,76657.048,8,226.796,6.388619718,15
08/11/2018,2704,2600,Yes,No,Yes,Yes,76657.048,0,0,0,15
09/11/2018,2694,3700,Yes,Yes,Yes,Yes,76373.553,-10,-283.495,-10.90365385,15
10/11/2018,2680,3600,Yes,No,Yes,Yes,75976.66,-14,-396.893,-10.72683784,15
11/11/2018,2680,2600,Yes,Yes,Yes,Yes,75976.66,0,0,0,15
12/11/2018,2648,4250,Yes,No,Yes,Yes,75069.476,-32,-907.184,-34.89169231,16
13/11/2018,2706,2050,Yes,Yes,Yes,Yes,76713.747,58,1644.271,38.68872941,16
14/11/2018,2690,5850,No,No,Yes,No,76260.155,-16,-453.592,-22.12643902,16
15/11/2018,2738,1950,No,Yes,Yes,Yes,77620.931,48,1360.776,23.26112821,16
16/11/2018,2680,5050,Yes,No,Yes,Yes,75976.66,-58,-1644.271,-84.32158974,16
17/11/2018,2692,6200,No,Yes,Yes,Yes,76316.854,12,340.194,6.736514851,16
18/11/2018,2704,7050,No,No,Yes,No,76657.048,12,340.194,5.487,16
19/11/2018,2738,2200,No,Yes,Yes,Yes,77620.931,34,963.883,13.67209929,17
20/11/2018,2696,2350,Yes,No,Yes,Yes,76430.252,-42,-1190.679,-54.12177273,17
21/11/2018,2722,5350,No,No,Yes,No,77167.339,26,737.087,31.36540426,17
22/11/2018,2736,1600,Yes,Yes,Yes,Yes,77564.232,14,396.893,7.418560748,17
23/11/2018,2690,3150,Yes,No,No,Yes,76260.155,-46,-1304.077,-81.5048125,17
24/11/2018,2680,3750,No,Yes,No,Yes,75976.66,-10,-283.495,-8.99984127,17
25/11/2018,2706,6400,No,No,No,No,76713.747,26,737.087,19.65565333,17
26/11/2018,2726,2000,Yes,No,No,Yes,77280.737,20,566.99,8.85921875,18
27/11/2018,2706,2200,Yes,No,No,Yes,76713.747,-20,-566.99,-28.3495,18
28/11/2018,2688,2350,Yes,Yes,Yes,Yes,76203.456,-18,-510.291,-23.19504545,18
29/11/2018,2680,2050,Yes,No,Yes,Yes,75976.66,-8,-226.796,-9.650893617,18
30/11/2018,2672,3150,No,Yes,Yes,Yes,75749.864,-8,-226.796,-11.06321951,18
01/12/2018,2690,4700,No,No,Yes,No,76260.155,18,510.291,16.19971429,18
02/12/2018,2710,4100,No,No,Yes,No,76827.145,20,566.99,12.06361702,18
03/12/2018,2724,2500,Yes,Yes,Yes,Yes,77224.038,14,396.893,9.680317073,19
04/12/2018,2690,2400,Yes,No,Yes,Yes,76260.155,-34,-963.883,-38.55532,19
05/12/2018,2672,2150,No,Yes,Yes,Yes,75749.864,-18,-510.291,-21.262125,19
06/12/2018,2658,2300,Yes,No,Yes,Yes,75352.971,-14,-396.893,-18.46013953,19
07/12/2018,2640,2800,Yes,Yes,Yes,Yes,74842.68,-18,-510.291,-22.18656522,19
08/12/2018,2656,9150,No,No,Yes,No,75296.272,16,453.592,16.19971429,19
09/12/2018,2758,1400,No,Yes,Yes,Yes,78187.921,102,2891.649,31.60272131,19
10/12/2018,2720,2200,Yes,No,Yes,Yes,77110.64,-38,-1077.281,-76.94864286,20
11/12/2018,2676,2300,Yes,Yes,Yes,Yes,75863.262,-44,-1247.378,-56.699,20
12/12/2018,2658,2400,Yes,Yes,No,Yes,75352.971,-18,-510.291,-22.18656522,20
13/12/2018,2658,2100,Yes,No,No,Yes,75352.971,0,0,0,20
14/12/2018,2648,2300,No,Yes,No,Yes,75069.476,-10,-283.495,-13.4997619,20
15/12/2018,2640,5750,No,No,No,No,74842.68,-8,-226.796,-9.860695652,20
16/12/2018,2656,2950,Yes,Yes,No,Yes,75296.272,16,453.592,7.888556522,20
17/12/2018,2656,1950,Yes,No,No,Yes,75296.272,0,0,0,21
18/12/2018,2632,1900,Yes,No,No,Yes,74615.884,-24,-680.388,-34.89169231,21
19/12/2018,2628,1500,Yes,No,No,Yes,74502.486,-4,-113.398,-5.968315789,21
